Dataset,PMID,Paper,Link to original dataset,Objectives,Key points to remember,Study Period (years),Primary Breast Tissue,Metastatic Tissue,Normal Tissue,"Confirmation (complete confirmation, partial confirmation all good, small conflicts, large conflicts, no information to compare)",Tissue,Treatment,ER,PGR (PR),HER-2,Node,Grade,Tissue,Treatment,ER,PGR (PR),HER-2,Node,Grade,Objectives,Short Summary of Results,Notes,,
HLP,19688261,http://www.ncbi.nlm.nih.gov/pubmed/?term=19688261,http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-543/,,,NR,TRUE,FALSE,TRUE,Large Conflicts,48,NR,NR,NR,1=13,NR,3=48,53,NA=53,0=28; 1=25,0=33; 1=20,0=40; 1=13,0=27; 1=25; NA=1,3=53,It is hypothesized that the molecular subtypes of breast cancer may be driven by specific constellations of genes whose expression is regulated by gene copy number aberrations. ,The results show evidence of different patterns of genetic aberrations in distinct molecular subtypes of breast cancer. Patterns of copy number aberrations may drive biological phenomena characteristic to each subtype.,*=Supplementary table 1 data not tabulated,,
IRB,18498629,http://www-ncbi-nlm-nih-gov.proxy.wexler.hunter.cuny.edu/pubmed/?term=18498629,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6532,,,1980-1995,TRUE,FALSE,FALSE,Large Conflicts,255,Tamoxifen = 255,0=0; 1=255*,NR,NR,0=113; 1=134,1=47; 2=128; 3=44,129,0=129,0=53; 1=76,NA=129,0=98; 1=31,0=64; 1=65,1=27; 2=32; 3=70,"ER status is the best predictor of response to tamoxifen in ER+ breast cancer patients, but up to 30-40% of ER+ patients relapse. Prognostic biomarkers of tamoxifen resistance are needed.",A gene classifier was identified as a predictor of clinical outcome in tamoxifen-treated breast cancer. ,Subset of dataset used for this paper; *all are ER+,,
KOO,12747878,http://www.ncbi.nlm.nih.gov/pubmed/12747878,Unavailable,"link does not work, in progress8",,1991-2001,TRUE,FALSE,FALSE,Small conflicts,89,NR,0=15; 1=74,NR,NR,0=19; 1=70,1=15; 2=24; 3=50,88,0=27; 1=61,0=15; 1=73,0=23; 1=65,NA=88,0=19; 1=69,NA=88,"Predicting nodal metastatic states and relapse, especially for patients without node involvement at initial diagnosis.",A new gene signature was used to accurately predict 90% of relapse cases in the study.,Cites 89 tumor samples,,
LUND,18430221,http://www.ncbi.nlm.nih.gov/pubmed/?term=18430221,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31863,,,NR,TRUE,FALSE,FALSE,"Partial confirmation, all good ",143,NR,0=29; 1=114,0=47; 1=88; NA=8,NR,0=143,1=50; 2=49; 3=34; NA=10,143,99=143,0=29; 1=114,0=47; 1=88; NA=8,NA=143,0=143,NA=143,Exploring if gene expression profiling would help identify why some BCA patients develop local recurrence despite having radiotherapy after surgery and others who do not receive radiation do not.,A significant difference was found between the ER positive subgroup and ER negative subgroup in the gene expression profiles.,,,
LUND2,17452630,http://www.ncbi.nlm.nih.gov/pubmed/?term=17452630,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE5325,,,NR,TRUE,FALSE ,FALSE,Small conflicts,105,**,0=60; 1=45,0=63; 1=42,NR,0=40; 1=65,**,105,2=105,0=60; 1=45,NA=105,NA=105,NA=105,NA=105,"Identifying a gene expression signature for PTEN loss, an indicator of an activated PI3K pathway in solid tumors.","Microarray signature was able to show PTEN mRNA lossξwhen IHC was unable, even though tumors exhibited PTEN loss behavior. Stathmim was an accurate IHC marker of the signature and had prognostic significance.","** All stage II, adjuvant tamoxifen",,
MAINZ,18593943,http://www.ncbi.nlm.nih.gov/pubmed/?term=18593943,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11121,,,1988-1998,TRUE,FALSE,FALSE,Large conflicts,200,0=200,0=44; 1=156,0=70; 1=130,NR,0=200,WellDiff=41; ModDiff=110; PoorUnDiff=45; UNK=4,200,0=200,0=38; 1=162,NA=200,NA=200,0=200,1=29; 2=136; 3=35,"The prognostic effect of the immune system was evaluated by gene profiling a cohort of node-negative, untreated breast tumors.","Poor prognosis is noted in tumors with low ER expression, showing the highest level of proliferative activity. In some tumors with highly expressed B-cell or T-cell metagenes, metastases rarely occurred, even with high proliferation and low ER expression.", ,,
MAQC2,20064235,http://www.ncbi.nlm.nih.gov/pubmed/?term=20064235,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE16716,,,2000-2008,TRUE,FALSE,FALSE,Small conflicts,230,NR,0=90; 1=140,NR,0=189; 1=40,0=66; 1=164,1=13; 2=94; 3=123,230,1=230,0=89; 1=141,0=126; 1=104,0=190; 1=40,0=66; 1=164,1=13; 2=94; 3=123,The goal of this analysis was to assess how the degree of classification difficulty may affect which elements of prediction methods perform better. This may assist in determining chemotherapy sensitivity in ER-negative tumors.,It is possible to build multi-gene classifiers of clinical outcome. Prediction accuracy depends on training sample size and classification difficulty. ,,,
MCCC,19960244,http://www.ncbi.nlm.nih.gov/pubmed/?term=19960244,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19177,,,NR,TRUE,FALSE,FALSE,No information to compare,75,NR,NR,NR,NR,NR,NR,75,NA=75,NA=75,NA=75,NA=75,NA=75,NA=75,"Data has shown that there are 5 clinically relevant classes of sporadic breast tumors. BRCA-1 tumors are known to be predominantly basal-like, but there is a lack of published data on the other classes of familial breast tumors. Gene expression profiling was used to determine molecular subtypes. ","Overall, expression and copy number profiling of familial tumors have shown that the tumors show molecular heterogeneity similar to sporadic tumors and are defined by their molecular subtypes rather than BRCA1 or BRCA2 germline mutation status. ",*=Supplementary table 4 data not tabulated,,
MDA4,16896004,http://www.ncbi.nlm.nih.gov/pubmed/?term=16896004,http://bioinformatics.mdanderson.org/pubdata.html,,,NR,TRUE,TRUE ,FALSE,Large conflicts,133,1=133,0=63; 1=70,NR,0=99; 1=33; NA=1,0=40; 1=93,1=2; 2=47; 3=62 (does not equal 133),129,1=129,0=48; 1=79; NA=2,0=73; 1=54; NA=2,0=114; 1=15,0=59; 1=62; NA=8,NA=129,A mutligene predictor of pathologic complete response to a chemotherapy regimen (weekly paclitaxel and 5-fluorouracil-doxorubicin-cyclophosphamide) was developed and assessed for its predictive accuracy in independent cases.,"The developed 30-probe set has high sensitivity and negative predictive value, accurately identifying 12 out of 13 patients with pCR and 27 out of 28 patients with residual disease.",18250347 (http://www.ncbi.nlm.nih.gov/pubmed/?term=18250347) does not have a microarray dataset attached to it. Primary tumor OR ipsilateral axillary metastasis were used for samples,,
MSK,16049480,http://www.ncbi.nlm.nih.gov/pubmed/?term=16049480,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse2603,,,NR,TRUE,FALSE,FALSE,No information to compare,82,NR,NR,NR,NR,NR,NR,99,99=99,0=42; 1=57,0=55; 1=43; NA=1,1=85; NA=14,0=34; 1=65,NA=99,"Expression of genes that may mediate metastasis in tumor have been suggested to appear early in tumor development. These genes are not specific to metastasis, but predict poor outcome.","A set of genes were identified that mark and mediate metastasis to the lung. Some genes confer growth advantages to both the breast tumor and lung environment, while others contribute to aggressive growth specifically in the lung. ","Paper cites 82 samples, but gives no information about them",,
MUG,18592372,http://www.ncbi.nlm.nih.gov/pubmed/?term=18592372,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse10510,,,1990-1992,TRUE,FALSE,FALSE,No information to compare,155,NR,0=61; 1=94,NR,NR,NR,NR,152,NA=152,NA=152,NA=152,NA=152,NA=152,NA=152,The prognostic value of lymphatic infiltration was examined as the involvement of the immune system in breast cancer is not well understood. ,"A method was developed to separate tumor cells and their microenvironment to test the prognostic abilities of the immune system. Results showed that lymphatic infiltration is beneficial for ER negative patients, but probably not beneficial for ER positive patients.",,,
NCCS,18636107,http://www.ncbi.nlm.nih.gov/pubmed/?term=18636107,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse5364,,,NR,TRUE,FALSE,TRUE* ,No information to compare,183,NR,NR,NR,NR,NR,NR,183,NA=183,NA=183,NA=183,NA=183,NA=183,NA=183,Genes in pro- and anti-oncogenic signalling pathways in tumors likely require strict regulation in order for cancerous tumors to grow - which would reveal potential targets for cancer therapies. These genes are identified using a database of 6 tissue types. ,48 genes were identified that displayed highly restricted levels of expression in tumors compared to normal tissues. This was validated in 11 independent cohorts of different cancer types.,Included 13 non-malignant breast tissue from patients whose primary breast cancer samples were used.,,
NCI,12917485,http://www.ncbi.nlm.nih.gov/pubmed/?term=12917485,Supplemental data from paper,,,1993-1994,TRUE,FALSE,FALSE,Partial information all good,99,NR,NR,NR,NR,0=46; 1=53,NR,99,0=11; 1=10; 2=78,0=34; 1=65,NA=99,NA=99,0=46; 1=53,1=16; 2=38; 3=45,"Gene expression patterns are correlated with clinical and pathological characteristics, along with outcomes.","Expression patterns were strongly associated with ER status, moderately associated with grade, but not associated with menopausal state, node status, or tumor size. Genes that were significantly associated with survival were identified.",Table 2 results not tabulated - looks like this is what was used for the dataset,,
NKI,"12490681, 11823860 ",http://www.ncbi.nlm.nih.gov/pubmed/?term=12490681; http://www.ncbi.nlm.nih.gov/pubmed/?term=11823860,Not available,,,1983-1996,TRUE,FALSE,FALSE,No information to compare,NR,NR,NR,NR,NR,NR,NR,337,0=207; 1=90; 2=40,0=88; 1=249,NA=337,NA=337,0=193; 1=144,1=79; 2=109; 3=149,Using a more accurate method of prognostication in breast cancer will improve the selection of patients for adjuvant systemic therapies.,It was found that the gene expression profile that was studied was more powerful in predicting outcome of disease in younger patients than using standard clinical and pathological criteria.,Two datasets were combined - some data overlap both sets.,,
PNC,"GSE20711, PMID 21910250",http://www.ncbi.nlm.nih.gov/pubmed/?term=21910250,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20711,,,1995-2003,TRUE,FALSE,TRUE (4 SAMPLES),No information to compare,92,NR,NR,NR,NR,NR,NR,92,NA=92,0=43; 1=45; NA=4,0=43; 1=40; NA=9,0=64; 1=26; NA=2,0=43; 1=40; NA=9,1=13; 2=5; 3=70; NA=4,The involvement of the epigenome in breast cancer and how it contributes to the complexity of the disease is unknown. Understanding this effect will help to understand differences in outcomes and responses to therapy in patients with the same profile in a clinical setting. DNA methylation is explored in phenotypically heterogeneous breast cancer tumors.,Breast tumors can be further divided than the currently known expression subtypes based on DNA methylation profiles.,Data not tabulated. Supplemental table includes data for the larger tumor set that includes the 92 samples for gene expression analysis.,,
STK,16280042,http://www.ncbi.nlm.nih.gov/pubmed/?term=16280042,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse1456,,,1994-1996,TRUE,FALSE,FALSE,No information to compare,159,NR,NR,NR,NR,NR,NR,159,0=22; 1=89; 2=48,0=29; 1=130,NA=159,NA=159,NA=159,1=28; 2=58; 3=61; NA=12,"Gene expression profiling may be able to identifiy patients with low malignant potential, sparing them from unnecessary and potentially harmful adjuvent therapy. ",Expression profiling was able to better predict prognosis compared to histological staging. ,,,
STNO2,12829800,http://www.ncbi.nlm.nih.gov/pubmed/?term=12829800,http://smd.princeton.edu/cgi-bin/publication/viewPublication.pl?pub_no=248,,,NR,TRUE,TRUE,TRUE,No information to compare,122,NR,NR,NR,NR,NR,NR,118,0=22; 1=23; 2=73,0=31; 1=82; NA=5,NA=118,NA=118,0=34; 1=79; NA=5,1=11; 2=49; 3=53; NA=5,Gene expression profiles can classify breast tumors into clinically relevant groups and predict outcomes.  ,Distinct breast cancer subtypes were determined by gene expression profiles and were validated in other published datasets.,,,
SUPERTAM_HGU133A,"18498629, 20697068, 18821012",http://www.ncbi.nlm.nih.gov/pubmed/?term=18498629; http://www.ncbi.nlm.nih.gov/pubmed/?term=20697068; http://www.ncbi.nlm.nih.gov/pubmed/?term=18821012,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6532; http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12093; http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17700; http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17705,,,1981-2000,TRUE,FALSE,FALSE,No information to compare,NR,NR,NR,NR,NR,NR,NR,856,0=344; 2=214; 5=298,0=140; 1=716,0=5; 1=65; NA=786,NA=856,0=677; 1=165; NA=14,1=84; 2=245; 3=219; NA=308,,,"Combination of three datasets including IRB dataset. Unclear which data is used, however (three papers equals more than the total sample number)",,
SUPERTAM_HGU133PLUS2,18498629,http://www-ncbi-nlm-nih-gov.proxy.wexler.hunter.cuny.edu/pubmed/?term=18498629,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6532,,,1980-1995,TRUE,FALSE,FALSE,Large Conflicts,255,Tamoxifen = 255,0=0; 1=255*,NR,NR,0=113; 1=134,1=47; 2=128; 3=44,517,2=164; NA=353,0=85; 1=325; NA=107,0=153; 1=252; NA=112,0=166; 1=61; NA=290,0=70; 1=94; NA=353,1=63; 2=171; 3=191; NA=92,"ER status is the best predictor of response to tamoxifen in ER+ breast cancer patients, but up to 30-40% of ER+ patients relapse. Prognostic biomarkers of tamoxifen resistance are needed.",A gene classifier was identified as a predictor of clinical outcome in tamoxifen-treated breast cancer. ,*Same citation as IRB ,,
TRANSBIG,17545524,http://www.ncbi.nlm.nih.gov/pubmed/?term=17545524,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gsE7390,,,1980-1998,TRUE,FALSE,FALSE,Complete confirmation,198,0=198,0=64; 1=134,NR,NR,0=198,1=30; 2=83; 3=83; NA=2,198,0=198,0=64; 1=134,NA=198,NA=198,0=198,1=30; 2=83; 3=83; NA=2,A previously reported gene signature to predict distant metastases in node-negative breast cancers was tested for validation in an independent set of tumors. Predicted outcome was compared against clinical risk assessment.,The 76-gene signature was validated. The results supports the hypothesis that utilizing the gene signature could reduce the number of patients who receive unnecessary adjuvant therapy. ,,,
UCSF,"17428335, 14612510 ",http://www.ncbi.nlm.nih.gov/pubmed/?term=17428335; http://www.ncbi.nlm.nih.gov/pubmed/?term=14612510,Not available,,,NR,TRUE,FALSE,FALSE,No information to compare,162,NR,NR,NR,NR,NR,NR,162,0=22; 1=38; 2=61; 6=31; NA=10,0=41; 1=101; NA=20,0=46; 1=94; NA=22,0=53; 1=19; NA=108,0=67; 1=82; NA=13,1=14; 2=62; 3=74; na=12,Genes that have been identified as predictors of breast cancer outcomes do not often overlap in published gene signatures. A diverse panel of tumors are used here to distinguish clinically relevant subgroups based on gene expression.,A gene set was identified that correctly predicted outcomes more effectively than using histological markers.,Data not tabulated. The data is from the the paper with PMID 17428335. The second paper is a smaller subset of the same sample set.,Objectives for 14612510: Gene expression differences between ductal and lobular breast cancer types are examined using microarray data.,Summary of results for 14612510: A set of genes was identified that are differentially expressed in lobular versus ductal tumors. 
UNC4,20813035,http://www.ncbi.nlm.nih.gov/pubmed/?term=20813035,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse18229,,,NR,TRUE,FALSE,FALSE,No information to compare,337,NR,NR,NR,NR,NR,NR,305,99=305,0=99; 1=154; NA=52,0=126; 1=109; NA=70,0=203; 1=58; NA=44,0=126; 1=134; 2=1; NA=44,1=25; 2=80; 2=138; NA=62,"The newly identified claudin-low tumor subtype is characterized by examining a human tumor database, breast cancer cell lines, and mouse models. ","Clinically, this subtype is usually triple negative invasive ductal carcinomas with a poor prognosis. Response to standard of care preoperative chemotherapy is intermediate between basal-like and luminal tumors. The claudin-low subtype most closely resembles the mammary epithelial stem cell.",37 new samples were added to previously published datasets to characterize the claudin-low subtype.,,
UNT,"16478745, 17401012 ",http://www.ncbi.nlm.nih.gov/pubmed/?term=16478745; http://www.ncbi.nlm.nih.gov/pubmed/?term=17401012,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse2990,,,NR,TRUE,FALSE,FALSE,Large Conflicts,NR,NR,NR,NR,NR,NR,NR,133,0=133,0=40; 1=68; NA=7,0=6; 1=56; NA=71,NA=133,0=133,1=32; 2=51; 3=29; NA=21,Breast tumors classified as grade 2 by histology often are not informative for clinical decision making. Sotiriou et al. examines if histoligical grade is associated with gene expression profiles and if these profiles can be used to improved histological grading. ,A gene expression grading index (GGI) was developed. The GGI reclassified grade 2 patients into two groups with low and high risks of recurrence.,Data set listed is from both papers. (1) Lists 189 samples (2) lists 249 - overlap unknown,"Objectives: In Loi et al., the GGI is used to assign ER status to high or low grade subgroups. Results: Two ER+ subgroups could be defined using GGI.",
UPP,16141321,http://www.ncbi.nlm.nih.gov/pubmed/?term=16141321,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse3494,,,1987-1989,TRUE,FALSE,FALSE,No information to compare,251,NR,NR,NR,NR,NR,NR,251,0=142; 2=80; NA=29,0=34; 1=213; NA=4,0=61; 1=190,NA=251,0=158; 1=84; NA=9,1=67; 2=128; 3=54; NA=2,P53 is often associated with aggressive and refractory tumors. The transcriptional fingerprint is predicted to be a more definitive downstream predictor of p53 activity than assessments by sequencing or immunohistochemistry. ,A 32-gene expression signature of p53 was identified that differentiates p-53 mutant and wild-type tumors. The signature is more effective than sequence-based assessments of p53 in predicting prognosis and therapeutic response.  ,,,
VDX,"15721472, 17420468", http://www.ncbi.nlm.nih.gov/pubmed/?term=15721472; http://www.ncbi.nlm.nih.gov/pubmed/?term=17420468,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse2034; http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse5327,,,1980-1995,TRUE,FALSE,FALSE,No information to compare,344,NR,NR,NR,NR,NR,NR,344,0=344,0=135; 2=209,NA=344,NA=344,0=344,1=7; 2=42; 3=147; NA=147,"In 15721472, gene expression data is examined to find prognostic markers for metastatic disease. In 17420468, the previously used data set along with additional samples are used to find selective markers of lung metastases in large tumors.",15721472: A gene signature was identified that can accurately predict distant metastases in node-negative cases. 17420468: Tumors with a lung metastatic gene signature were shown to be larger.  ,Combination of data sets from two articles. Article with ID 17420468 does not have tabulated data.,,
